"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"SEC61G",2586.17582419185,-0.0544210286841151,0.0956135370962033,0.504455038412593,0.694912552915307
"SEC62",1625.60810088542,0.0132384159817151,0.110628385601795,0.886475013644792,0.943702288991602
"SEC63",1899.89191113837,0.0870271380095243,0.0943468374232641,0.294363475637095,0.502190383301844
"SECISBP2",465.06615533891,-0.122057240134021,0.100782634859315,0.159630331071182,0.337036532948236
"SECISBP2L",1443.38824827015,0.0662139257386609,0.0893671915374202,0.389400343202909,0.596212628738097
"SECTM1",9.79269741347978,-0.186290354156044,0.292630877690551,0.0563689167431322,0.164936677632489
"SEH1L",559.725552282118,0.126341108580171,0.0820030149764833,0.0871934373196685,0.225107646797888
"SEL1L",3460.96958268011,0.0648913601612578,0.0873160230964507,0.407219106839553,0.612963358522842
"SEL1L3",532.499880298328,-0.949569341078269,0.146074121395349,5.31205173037834e-12,4.23326060804159e-10
"SELENBP1",322.880591115126,-0.60131891623038,0.109805203214152,4.39201337600979e-09,1.72346034646458e-07
"SELENOF",1453.99531043732,-0.14084598902681,0.0802172713423142,0.0515571515220762,0.154954123780422
"SELENOH",1036.52328978182,-0.198069574565092,0.100614946628025,0.0223437698368448,0.0852021071560965
"SELENOI",893.979986852101,-0.05790627468039,0.090240897624445,0.465863024327705,0.662432173407341
"SELENOK",1174.83875500116,-0.00392782518942829,0.0917506719341871,0.962669284043312,0.98320508467647
"SELENOM",1417.98623758967,-0.280772330428793,0.113296040243665,0.0038905174289906,0.0221718317244759
"SELENON",5412.46763241418,-0.0113398777023684,0.0819344651925357,0.89669191925929,0.94943850274513
"SELENOO",583.10096848201,0.0205488597513774,0.0858719517771966,0.790860286039942,0.890702010212553
"SELENOP",275.317451585535,0.0192729403109018,0.109825788710375,0.833751198951543,0.913872951347153
"SELENOS",1035.58903925614,-0.0785878455519137,0.0912743189407398,0.330627043611584,0.539124140880977
"SELENOT",2595.38958490196,0.0165693158405824,0.0812397565108912,0.824417441870444,0.908320331532757
"SELENOW",9627.19774688437,-0.0655344309783151,0.0854525810346786,0.395470015296635,0.60168650771372
"SELPLG",70.0642876403164,-0.382858874783829,0.23932289992254,0.0132344285221622,0.0572753138674436
"SEM1",570.451589354348,-0.089250085856246,0.0973501276764039,0.284329628207277,0.491741748735891
"SEMA3A",527.05500065749,-0.478981717450712,0.133354151533828,4.37301730321139e-05,0.000538882036887561
